epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.3551,0.79225,0.80272,1,0.47155,0.000416263,0.000416263,0.000416263
2,91.5923,0.46539,0.82001,1,0.46276,0.000791699,0.000791699,0.000791699
3,136.12,0.38499,0.84184,1,0.42831,0.00112589,0.00112589,0.00112589
4,179.334,0.34719,0.84495,1,0.43587,0.00106437,0.00106437,0.00106437
5,222.967,0.27061,0.85658,1,0.46449,0.0010025,0.0010025,0.0010025
6,262.488,0.23169,0.85402,1,0.45235,0.000940625,0.000940625,0.000940625
7,299.232,0.20444,0.85147,1,0.44722,0.00087875,0.00087875,0.00087875
8,333.602,0.16902,0.85374,1,0.50548,0.000816875,0.000816875,0.000816875
9,367.866,0.15974,0.87613,1,0.40822,0.000755,0.000755,0.000755
10,402.277,0.1384,0.87982,1,0.45908,0.000693125,0.000693125,0.000693125
11,468.533,0.12907,0.87075,1,0.47071,0.00063125,0.00063125,0.00063125
12,503.121,0.10904,0.875,1,0.47802,0.000569375,0.000569375,0.000569375
13,537.695,0.10463,0.87358,1,0.47714,0.0005075,0.0005075,0.0005075
14,572.564,0.0956,0.8852,1,0.4483,0.000445625,0.000445625,0.000445625
15,607.223,0.08716,0.87557,1,0.48776,0.00038375,0.00038375,0.00038375
16,642.149,0.08472,0.87868,1,0.4998,0.000321875,0.000321875,0.000321875
17,677.465,0.07261,0.87954,1,0.48384,0.00026,0.00026,0.00026
18,712.362,0.06836,0.8801,1,0.48821,0.000198125,0.000198125,0.000198125
19,747.172,0.06421,0.88407,1,0.47074,0.00013625,0.00013625,0.00013625
20,783.068,0.05795,0.88407,1,0.46645,7.4375e-05,7.4375e-05,7.4375e-05
